GenBank seq accession	RefSeq seq accession	Sequence name	UCSC style name
OY997261.1		Chr1At	
OY997262.1		Chr1G	
OY997263.1		Chr2At	
OY997264.1		Chr2G	
OY997265.1		Chr3At	
OY997266.1		Chr3G	
OY997267.1		Chr4At	
OY997268.1		Chr4G	
OY997269.1		Chr5At	
OY997270.1		Chr5G	
OY997271.1		Chr6At	
OY997272.1		Chr6G	
OY997273.1		Chr7At	
OY997274.1		Chr7G	
CAWUFU020000001.1		scaffold_23	
CAWUFU020000002.1		scaffold_69	
CAWUFU020000003.1		scaffold_98	
CAWUFU020000004.1		scaffold_124	
CAWUFU020000005.1		scaffold_155	
CAWUFU020000006.1		scaffold_158	
CAWUFU020000007.1		scaffold_160	
CAWUFU020000008.1		scaffold_166	
CAWUFU020000009.1		scaffold_172	
CAWUFU020000010.1		scaffold_175	
CAWUFU020000011.1		scaffold_177	
CAWUFU020000012.1		scaffold_178	
CAWUFU020000013.1		scaffold_179	
CAWUFU020000014.1		scaffold_182	
CAWUFU020000015.1		scaffold_184	
CAWUFU020000016.1		scaffold_186	
CAWUFU020000017.1		scaffold_187	
CAWUFU020000018.1		scaffold_190	
CAWUFU020000019.1		scaffold_192	
CAWUFU020000020.1		scaffold_194	
CAWUFU020000021.1		scaffold_203	
CAWUFU020000022.1		scaffold_207	
CAWUFU020000023.1		scaffold_209	
CAWUFU020000024.1		scaffold_215	
CAWUFU020000025.1		scaffold_218	
CAWUFU020000026.1		scaffold_219	
CAWUFU020000027.1		scaffold_224	
CAWUFU020000028.1		scaffold_225	
CAWUFU020000029.1		scaffold_226	
CAWUFU020000030.1		scaffold_229	
CAWUFU020000031.1		scaffold_231	
CAWUFU020000032.1		scaffold_234	
CAWUFU020000033.1		scaffold_239	
CAWUFU020000034.1		scaffold_240	
CAWUFU020000035.1		scaffold_246	
CAWUFU020000036.1		scaffold_252	
CAWUFU020000037.1		scaffold_255	
CAWUFU020000038.1		scaffold_256	
CAWUFU020000039.1		scaffold_260	
CAWUFU020000040.1		scaffold_261	
CAWUFU020000041.1		scaffold_263	
CAWUFU020000042.1		scaffold_264	
CAWUFU020000043.1		scaffold_268	
CAWUFU020000044.1		scaffold_269	
CAWUFU020000045.1		scaffold_271	
CAWUFU020000046.1		scaffold_274	
CAWUFU020000047.1		scaffold_275	
CAWUFU020000048.1		scaffold_279	
CAWUFU020000049.1		scaffold_280	
CAWUFU020000050.1		scaffold_281	
CAWUFU020000051.1		scaffold_283	
CAWUFU020000052.1		scaffold_285	
CAWUFU020000053.1		scaffold_288	
CAWUFU020000054.1		scaffold_292	
CAWUFU020000055.1		scaffold_293	
CAWUFU020000056.1		scaffold_294	
CAWUFU020000057.1		scaffold_295	
CAWUFU020000058.1		scaffold_297	
CAWUFU020000059.1		scaffold_298	
CAWUFU020000060.1		scaffold_302	
CAWUFU020000061.1		scaffold_305	
CAWUFU020000062.1		scaffold_306	
CAWUFU020000063.1		scaffold_309	
CAWUFU020000064.1		scaffold_313	
CAWUFU020000065.1		scaffold_315	
CAWUFU020000066.1		scaffold_316	
CAWUFU020000067.1		scaffold_318	
CAWUFU020000068.1		scaffold_321	
CAWUFU020000069.1		scaffold_324	
CAWUFU020000070.1		scaffold_325	
CAWUFU020000071.1		scaffold_326	
CAWUFU020000072.1		scaffold_328	
CAWUFU020000073.1		scaffold_329	
CAWUFU020000074.1		scaffold_336	
CAWUFU020000075.1		scaffold_338	
CAWUFU020000076.1		scaffold_339	
CAWUFU020000077.1		scaffold_343	
CAWUFU020000078.1		scaffold_345	
CAWUFU020000079.1		scaffold_346	
CAWUFU020000080.1		scaffold_349	
CAWUFU020000081.1		scaffold_350	
CAWUFU020000082.1		scaffold_355	
CAWUFU020000083.1		scaffold_358	
CAWUFU020000084.1		scaffold_359	
CAWUFU020000085.1		scaffold_360	
CAWUFU020000086.1		scaffold_361	
CAWUFU020000087.1		scaffold_363	
CAWUFU020000088.1		scaffold_364	
CAWUFU020000089.1		scaffold_367	
CAWUFU020000090.1		scaffold_368	
CAWUFU020000091.1		scaffold_371	
CAWUFU020000092.1		scaffold_375	
CAWUFU020000093.1		scaffold_378	
CAWUFU020000094.1		scaffold_379	
CAWUFU020000095.1		scaffold_380	
CAWUFU020000096.1		scaffold_381	
CAWUFU020000097.1		scaffold_382	
CAWUFU020000098.1		scaffold_386	
CAWUFU020000099.1		scaffold_387	
CAWUFU020000100.1		scaffold_389	
CAWUFU020000101.1		scaffold_390	
CAWUFU020000102.1		scaffold_392	
CAWUFU020000103.1		scaffold_393	
CAWUFU020000104.1		scaffold_394	
CAWUFU020000105.1		scaffold_395	
CAWUFU020000106.1		scaffold_396	
CAWUFU020000107.1		scaffold_398	
CAWUFU020000108.1		scaffold_400	
CAWUFU020000109.1		scaffold_401	
CAWUFU020000110.1		scaffold_402	
CAWUFU020000111.1		scaffold_407	
CAWUFU020000112.1		scaffold_409	
CAWUFU020000113.1		scaffold_412	
CAWUFU020000114.1		scaffold_415	
CAWUFU020000115.1		scaffold_416	
CAWUFU020000116.1		scaffold_417	
CAWUFU020000117.1		scaffold_420	
CAWUFU020000118.1		scaffold_422	
CAWUFU020000119.1		scaffold_425	
CAWUFU020000120.1		scaffold_427	
CAWUFU020000121.1		scaffold_428	
CAWUFU020000122.1		scaffold_429	
CAWUFU020000123.1		scaffold_434	
CAWUFU020000124.1		scaffold_435	
CAWUFU020000125.1		scaffold_437	
CAWUFU020000126.1		scaffold_439	
CAWUFU020000127.1		scaffold_445	
CAWUFU020000128.1		scaffold_446	
CAWUFU020000129.1		scaffold_447	
CAWUFU020000130.1		scaffold_450	
CAWUFU020000131.1		scaffold_453	
CAWUFU020000132.1		scaffold_455	
CAWUFU020000133.1		scaffold_457	
CAWUFU020000134.1		scaffold_460	
CAWUFU020000135.1		scaffold_462	
CAWUFU020000136.1		scaffold_464	
CAWUFU020000137.1		scaffold_468	
CAWUFU020000138.1		scaffold_471	
CAWUFU020000139.1		scaffold_474	
CAWUFU020000140.1		scaffold_475	
CAWUFU020000141.1		scaffold_476	
CAWUFU020000142.1		scaffold_477	
CAWUFU020000143.1		scaffold_481	
CAWUFU020000144.1		scaffold_482	
CAWUFU020000145.1		scaffold_483	
CAWUFU020000146.1		scaffold_484	
CAWUFU020000147.1		scaffold_487	
CAWUFU020000148.1		scaffold_488	
CAWUFU020000149.1		scaffold_489	
CAWUFU020000150.1		scaffold_490	
CAWUFU020000151.1		scaffold_496	
CAWUFU020000152.1		scaffold_497	
CAWUFU020000153.1		scaffold_498	
CAWUFU020000154.1		scaffold_499	
CAWUFU020000155.1		scaffold_500	
CAWUFU020000156.1		scaffold_502	
CAWUFU020000157.1		scaffold_503	
CAWUFU020000158.1		scaffold_504	
CAWUFU020000159.1		scaffold_506	
CAWUFU020000160.1		scaffold_507	
CAWUFU020000161.1		scaffold_508	
CAWUFU020000162.1		scaffold_509	
CAWUFU020000163.1		scaffold_510	
CAWUFU020000164.1		scaffold_511	
CAWUFU020000165.1		scaffold_515	
CAWUFU020000166.1		scaffold_516	
CAWUFU020000167.1		scaffold_519	
CAWUFU020000168.1		scaffold_520	
CAWUFU020000169.1		scaffold_521	
CAWUFU020000170.1		scaffold_522	
CAWUFU020000171.1		scaffold_523	
CAWUFU020000172.1		scaffold_525	
CAWUFU020000173.1		scaffold_528	
CAWUFU020000174.1		scaffold_529	
CAWUFU020000175.1		scaffold_530	
CAWUFU020000176.1		scaffold_531	
CAWUFU020000177.1		scaffold_533	
CAWUFU020000178.1		scaffold_536	
CAWUFU020000179.1		scaffold_539	
CAWUFU020000180.1		scaffold_541	
CAWUFU020000181.1		scaffold_543	
CAWUFU020000182.1		scaffold_546	
CAWUFU020000183.1		scaffold_547	
CAWUFU020000184.1		scaffold_548	
CAWUFU020000185.1		scaffold_549	
CAWUFU020000186.1		scaffold_550	
CAWUFU020000187.1		scaffold_552	
CAWUFU020000188.1		scaffold_553	
CAWUFU020000189.1		scaffold_559	
CAWUFU020000190.1		scaffold_560	
CAWUFU020000191.1		scaffold_561	
CAWUFU020000192.1		scaffold_564	
CAWUFU020000193.1		scaffold_565	
CAWUFU020000194.1		scaffold_566	
CAWUFU020000195.1		scaffold_569	
CAWUFU020000196.1		scaffold_570	
CAWUFU020000197.1		scaffold_572	
CAWUFU020000198.1		scaffold_573	
CAWUFU020000199.1		scaffold_574	
CAWUFU020000200.1		scaffold_577	
CAWUFU020000201.1		scaffold_580	
CAWUFU020000202.1		scaffold_581	
CAWUFU020000203.1		scaffold_582	
CAWUFU020000204.1		scaffold_583	
CAWUFU020000205.1		scaffold_584	
CAWUFU020000206.1		scaffold_585	
CAWUFU020000207.1		scaffold_586	
CAWUFU020000208.1		scaffold_587	
CAWUFU020000209.1		scaffold_588	
CAWUFU020000210.1		scaffold_589	
CAWUFU020000211.1		scaffold_590	
CAWUFU020000212.1		scaffold_591	
CAWUFU020000213.1		scaffold_592	
CAWUFU020000214.1		scaffold_596	
CAWUFU020000215.1		scaffold_597	
CAWUFU020000216.1		scaffold_598	
CAWUFU020000217.1		scaffold_599	
CAWUFU020000218.1		scaffold_600	
CAWUFU020000219.1		scaffold_601	
CAWUFU020000220.1		scaffold_602	
CAWUFU020000221.1		scaffold_603	
CAWUFU020000222.1		scaffold_604	
CAWUFU020000223.1		scaffold_605	
CAWUFU020000224.1		scaffold_606	
CAWUFU020000225.1		scaffold_607	
CAWUFU020000226.1		scaffold_608	
CAWUFU020000227.1		scaffold_609	
CAWUFU020000228.1		scaffold_610	
CAWUFU020000229.1		scaffold_611	
CAWUFU020000230.1		scaffold_612	
CAWUFU020000231.1		scaffold_614	
CAWUFU020000232.1		scaffold_615	
CAWUFU020000233.1		scaffold_620	
CAWUFU020000234.1		scaffold_621	
CAWUFU020000235.1		scaffold_622	
CAWUFU020000236.1		scaffold_625	
CAWUFU020000237.1		scaffold_626	
CAWUFU020000238.1		scaffold_627	
CAWUFU020000239.1		scaffold_628	
CAWUFU020000240.1		scaffold_630	
CAWUFU020000241.1		scaffold_632	
CAWUFU020000242.1		scaffold_633	
CAWUFU020000243.1		scaffold_634	
CAWUFU020000244.1		scaffold_635	
CAWUFU020000245.1		scaffold_636	
CAWUFU020000246.1		scaffold_637	
CAWUFU020000247.1		scaffold_638	
